,entrezgene_id,KEGG_family,KEGG_node,KEGG_subnode
0,282667,dre00535,Cell surface proteoglycans,Syndecan family (transmembrane HSPG)
1,337077,dre00535,Cell surface proteoglycans,Syndecan family (transmembrane HSPG)
2,568593,dre00535,Cell surface proteoglycans,Syndecan family (transmembrane HSPG)
3,393995,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
4,553367,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
5,503792,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
6,387365,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
7,118437,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
8,559454,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
9,101886726,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
10,100006305,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
11,571904,dre00535,Cell surface proteoglycans,Glypican family (GPI-anchored HSPG)
12,497461,dre00535,Cell surface proteoglycans,Others
13,553019,dre00535,Cell surface proteoglycans,Others
14,100332594,dre00535,Cell surface proteoglycans,Others
15,560393,dre00535,Cell surface proteoglycans,Others
16,101882096,dre00535,Cell surface proteoglycans,Others
17,58113,dre00535,Cell surface proteoglycans,Others
18,558206,dre00535,Cell surface proteoglycans,Others
19,100330801,dre00535,Cell surface proteoglycans,Others
20,108180329,dre00535,Cell surface proteoglycans,Others
21,58083,dre00535,Cell surface proteoglycans,Others
22,170846,dre00535,Cell surface proteoglycans,Others
23,796801,dre00535,Cell surface proteoglycans,Others
24,767774,dre00535,Cell surface proteoglycans,Others
25,class,dre00535,Extracellular matrix (ECM) proteoglycans,Small leucine-rich proteoglycan (SLRP) family
26,class,dre00535,Extracellular matrix (ECM) proteoglycans,Small leucine-rich proteoglycan (SLRP) family
27,class,dre00535,Extracellular matrix (ECM) proteoglycans,Small leucine-rich proteoglycan (SLRP) family
28,class,dre00535,Extracellular matrix (ECM) proteoglycans,Small leucine-rich proteoglycan (SLRP) family
29,class,dre00535,Extracellular matrix (ECM) proteoglycans,Small leucine-rich proteoglycan (SLRP) family
30,497505,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
31,116993,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
32,323465,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
33,559024,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
34,407661,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
35,334113,dre00535,Extracellular matrix (ECM) proteoglycans,Aggrecan / versican family
36,565429,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
37,565373,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
38,558137,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
39,564123,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
40,100334893,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
41,324475,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
42,553321,dre00535,Extracellular matrix (ECM) proteoglycans,Basement membrane proteoglycans
43,570867,dre00535,Extracellular matrix (ECM) proteoglycans,Others
44,562002,dre00535,Extracellular matrix (ECM) proteoglycans,Others
45,100320541,dre00535,Extracellular matrix (ECM) proteoglycans,Others
46,110440200,dre00535,Extracellular matrix (ECM) proteoglycans,Others
47,567110,dre00535,Extracellular matrix (ECM) proteoglycans,Others
48,321212,dre00535,Extracellular matrix (ECM) proteoglycans,Others
49,406548,dre00535,Extracellular matrix (ECM) proteoglycans,Others
50,100170785,dre00535,Extracellular matrix (ECM) proteoglycans,Others
51,100537277,dre00535,Extracellular matrix (ECM) proteoglycans,Others
52,562946,dre00535,Extracellular matrix (ECM) proteoglycans,Others
53,100149543,dre00535,Extracellular matrix (ECM) proteoglycans,Others
54,321298,dre00535,Extracellular matrix (ECM) proteoglycans,Others
55,140614,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
56,335916,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
57,407086,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
58,336038,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
59,564873,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
60,394198,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
61,564403,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
62,570238,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
63,492346,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
64,564241,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
65,558921,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
66,561417,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
67,393939,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
68,570258,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
69,436766,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
70,564589,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
71,751677,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
72,100007087,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
73,114467,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
74,100537332,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
75,100000492,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
76,30210,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
77,114463,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
78,415133,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
79,405877,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
80,415134,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
81,393307,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
82,558772,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
83,360149,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
84,555350,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
85,557210,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
86,100006516,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
87,393939,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
88,406514,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
89,556410,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
90,567253,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
91,566279,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
92,567018,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
93,565910,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
94,101886947,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
95,562093,dre03000,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
96,573207,dre03000,Basic leucine zipper (bZIP),CREB
97,406853,dre03000,Basic leucine zipper (bZIP),CREB
98,553700,dre03000,Basic leucine zipper (bZIP),CREB
99,791169,dre03000,Basic leucine zipper (bZIP),CREB
100,338317,dre03000,Basic leucine zipper (bZIP),CREB
101,100333318,dre03000,Basic leucine zipper (bZIP),CREB
102,100538072,dre03000,Basic leucine zipper (bZIP),CREB
103,777612,dre03000,Basic leucine zipper (bZIP),CREB
104,555432,dre03000,Basic leucine zipper (bZIP),CREB
105,550357,dre03000,Basic leucine zipper (bZIP),CREB
106,325609,dre03000,Basic leucine zipper (bZIP),CREB
107,558071,dre03000,Basic leucine zipper (bZIP),CREB
108,140815,dre03000,Basic leucine zipper (bZIP),C/EBP-like factors
109,140814,dre03000,Basic leucine zipper (bZIP),C/EBP-like factors
110,140816,dre03000,Basic leucine zipper (bZIP),C/EBP-like factors
111,140817,dre03000,Basic leucine zipper (bZIP),C/EBP-like factors
112,561924,dre03000,Basic leucine zipper (bZIP),C/EBP-like factors
113,768192,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
114,557886,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
115,565056,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
116,30674,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
117,553686,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
118,445509,dre03000,Basic leucine zipper (bZIP),bZIP/PAR
119,559280,dre03000,Basic leucine zipper (bZIP),ZIP only
120,664768,dre03000,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
121,30310,dre03000,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
122,407985,dre03000,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
123,100526651,dre03000,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
124,30513,dre03000,Basic helix-loop-helix (bHLH),Myogenic transcription factors
125,30200,dre03000,Basic helix-loop-helix (bHLH),Myogenic transcription factors
126,58097,dre03000,Basic helix-loop-helix (bHLH),Myogenic transcription factors
127,404208,dre03000,Basic helix-loop-helix (bHLH),Myogenic transcription factors
128,387259,dre03000,Basic helix-loop-helix (bHLH),Myogenic transcription factors
129,30466,dre03000,Basic helix-loop-helix (bHLH),Achaete-Scute
130,30478,dre03000,Basic helix-loop-helix (bHLH),Achaete-Scute
131,110439339,dre03000,Basic helix-loop-helix (bHLH),Achaete-Scute
132,394239,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Lymphoid factors"
133,30766,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Lymphoid factors"
134,100333113,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Lymphoid factors"
135,30395,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
136,30175,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
137,550518,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
138,30176,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
139,30159,dre03000,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
